timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
4135916,32767,32767,32767,32767,32767,-41,32767,32767
4139871,32767,32767,32767,32767,32767,32767,32767,32767
4143871,32767,32767,32767,32767,32767,32767,32767,32767
4147871,32767,32767,32767,32767,-54,-55,32767,32767
4151877,32767,32767,32767,32767,32767,32767,32767,32767
4155880,32767,32767,32767,32767,32767,-40,32767,32767
4159871,32767,32767,32767,32767,-73,32767,32767,32767
4163871,32767,32767,32767,32767,32767,32767,32767,32767
4167871,32767,32767,32767,32767,-44,-55,32767,32767
4171880,32767,32767,32767,32767,32767,32767,32767,32767
4175900,32767,32767,32767,32767,32767,-41,32767,32767
4179871,32767,32767,32767,32767,32767,32767,32767,32767
4183903,32767,32767,32767,32767,32767,32767,32767,32767
4187871,32767,32767,32767,32767,32767,-55,32767,32767
4191895,32767,32767,32767,32767,-73,32767,32767,32767
4195894,32767,32767,32767,32767,32767,-48,32767,32767
4199895,32767,32767,32767,32767,-44,32767,32767,32767
4203908,32767,32767,32767,32767,32767,32767,32767,32767
4207894,32767,32767,32767,32767,32767,-71,32767,32767
4211901,32767,32767,32767,32767,-55,32767,32767,32767
4215894,32767,32767,32767,32767,32767,-48,32767,32767
4219894,32767,32767,32767,32767,32767,32767,32767,32767
4223904,32767,32767,32767,32767,32767,32767,32767,32767
4227894,32767,32767,32767,32767,32767,-71,32767,32767
4231901,32767,32767,32767,32767,32767,32767,32767,32767
4235894,32767,32767,32767,32767,-68,-48,32767,32767
4239894,32767,32767,32767,32767,32767,32767,32767,32767
4243913,32767,32767,32767,32767,-45,32767,32767,32767
4247894,32767,32767,32767,32767,32767,-55,32767,32767
4251895,32767,32767,32767,32767,32767,32767,32767,32767
4255895,32767,32767,32767,32767,-54,-47,32767,32767
4260701,32767,32767,32767,32767,32767,32767,32767,32767
4264698,32767,32767,32767,32767,32767,-40,32767,32767
4268695,32767,32767,32767,32767,32767,-71,32767,32767
4272699,32767,32767,32767,32767,32767,32767,32767,32767
4276695,32767,32767,32767,32767,-42,-55,32767,32767
4280702,32767,32767,32767,32767,32767,32767,32767,32767
4284727,32767,32767,32767,32767,32767,-41,32767,32767
4288705,32767,32767,32767,32767,-52,32767,32767,32767
4292695,32767,32767,32767,32767,32767,32767,32767,32767
4296695,32767,32767,32767,32767,32767,-55,32767,32767
4300695,32767,32767,32767,32767,-61,32767,32767,32767
4304701,32767,32767,32767,32767,32767,-49,32767,32767
4308701,32767,32767,32767,32767,32767,32767,32767,32767
4312700,32767,32767,32767,32767,32767,32767,32767,32767
4316701,32767,32767,32767,32767,32767,-64,32767,32767
4321516,32767,32767,32767,32767,-51,32767,32767,32767
4326302,32767,32767,32767,32767,32767,-64,32767,32767
4331113,32767,32767,32767,32767,32767,32767,32767,32767
4335103,32767,32767,32767,32767,-77,-40,32767,32767
4339071,32767,32767,32767,32767,32767,32767,32767,32767
4343071,32767,32767,32767,32767,-46,32767,32767,32767
4347070,32767,32767,32767,32767,32767,-72,32767,32767
4351081,32767,32767,32767,32767,32767,32767,32767,32767
4355104,32767,32767,32767,32767,32767,-41,32767,32767
4359071,32767,32767,32767,32767,32767,32767,32767,32767
4363071,32767,32767,32767,32767,32767,32767,32767,32767
4367101,32767,32767,32767,32767,-67,-73,32767,32767
4371089,32767,32767,32767,32767,32767,32767,32767,32767
4375070,32767,32767,32767,32767,32767,-40,32767,32767
4379071,32767,32767,32767,32767,-73,32767,32767,32767
4383070,32767,32767,32767,32767,32767,32767,32767,32767
4387071,32767,32767,32767,32767,-46,-71,32767,32767
4391071,32767,32767,32767,32767,32767,32767,32767,32767
