timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
153416821,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
154425752,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
155432959,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
156442125,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
157446738,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
158449570,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
159457962,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
160467329,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
161477655,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
162479550,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
163482702,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
164489565,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
165498820,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
166504421,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
167506576,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
168516109,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
169523671,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
170536055,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
171544280,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
172551614,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
173555916,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
174561706,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
175562645,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
176563377,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
177571723,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
178582632,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
179592720,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
180593982,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
