timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
210906002,45.3815278822,-71.9330809711,234.125,-0.0,0.0606371,-0.0128431,-0.10744,-0.972055,1.94776,3.19699,0.0,4,0,0,0
211106807,45.3815280002,-71.9330810559,234.098,-0.0,0.0603678,-0.0115274,-0.108567,-0.972074,1.94777,3.19704,0.0,4,0,0,0
211310719,45.3815281001,-71.9330811341,234.069,-0.0,0.0579853,-0.00850784,-0.107094,-0.972168,1.9478,3.1971,0.0,4,0,0,0
211513090,45.381528172,-71.9330811716,234.04,-0.0,0.0551559,-0.00473543,-0.10629,-0.972071,1.94781,3.19715,0.0,4,0,0,0
211717952,45.3815281736,-71.9330811744,234.008,-0.0,0.0493686,-0.00241808,-0.104647,-0.972123,1.94803,3.19734,0.0,4,0,0,0
211918689,45.3815281863,-71.9330811919,233.977,-0.0,0.0444293,0.00166913,-0.102915,-0.971939,1.94805,3.19741,0.0,4,0,0,0
212121891,45.3815282582,-71.9330812662,233.947,-0.0,0.0420136,0.00236067,-0.101374,-0.97201,1.94813,3.19754,0.0,4,0,0,0
212326697,45.3815283218,-71.9330813475,233.915,-0.0,0.0423411,0.000138085,-0.0993684,-0.972143,1.94811,3.1976,0.0,4,0,0,0
212530731,45.3815283751,-71.9330813873,233.879,-0.0,0.040035,0.00454195,-0.0968206,-0.972261,1.94828,3.19778,0.0,4,0,0,0
212731503,45.3815283844,-71.9330813764,233.845,-0.0,0.0329233,0.00670637,-0.0935299,-0.972205,1.94828,3.19786,0.0,4,0,0,0
212936473,45.3815283482,-71.9330813291,233.809,-0.0,0.0291167,0.0146612,-0.0922727,-0.972087,1.94844,3.19803,0.0,4,0,0,0
213137076,45.3815283586,-71.9330813338,233.774,-0.0,0.025021,0.017352,-0.0892198,-0.972179,1.94837,3.19807,0.0,4,0,0,0
213337877,45.3815283701,-71.9330813303,233.733,-0.0,0.0134819,0.0150938,-0.086231,-0.972145,1.94839,3.19816,0.0,4,0,0,0
213538733,45.3815283872,-71.9330813791,233.693,-0.0,0.00289753,0.00983611,-0.0818317,-0.97218,1.94841,3.19826,0.0,4,0,0,0
213740366,45.3815283855,-71.9330814549,233.651,-0.0,-0.00616999,0.00127576,-0.0778335,-0.972235,1.94457,3.19585,0.0,4,0,0,0
213941887,45.3815283619,-71.9330815452,233.61,-0.0,-0.0156187,-0.000495407,-0.0735211,-0.972294,1.94844,3.19845,0.0,4,0,0,0
214144407,45.3815283816,-71.9330816683,233.567,-0.0,-0.0206859,-0.00454515,-0.0711767,-0.972307,1.94466,3.19606,0.0,4,0,0,0
214345157,45.3815283794,-71.9330818218,233.529,-0.0,-0.0241745,-0.00973384,-0.0688324,-0.972443,1.94464,3.19613,0.0,4,0,0,0
214549918,45.3815283696,-71.9330819711,233.494,-0.0,-0.0318936,-0.0110847,-0.0647378,-0.972513,1.94851,3.19874,0.0,4,0,0,0
214750726,45.3815283866,-71.9330821368,233.455,-0.0,-0.0355324,-0.0165779,-0.0606971,-0.972556,1.94463,3.19625,0.0,4,0,0,0
214955662,45.3815283992,-71.933082338,233.411,-0.0,-0.0403846,-0.0198312,-0.0572843,-0.97259,1.94478,3.19641,0.0,4,0,0,0
215156306,45.3815283591,-71.933082558,233.367,-0.0,-0.0462917,-0.0287571,-0.0523421,-0.972688,1.94479,3.19646,0.0,4,0,0,0
215360366,45.3815283229,-71.9330827424,233.324,-0.0,-0.0534793,-0.0334961,-0.0492678,-0.972761,1.94479,3.1965,0.0,4,0,0,0
215561212,45.381528291,-71.9330829491,233.276,-0.0,-0.0601003,-0.0416625,-0.0430487,-0.972806,1.94485,3.19657,0.0,4,0,0,0
215761903,45.3815282707,-71.9330832258,233.238,-0.0,-0.067956,-0.0548614,-0.0375345,-0.972836,1.9448,3.19657,0.0,4,0,0,0
215966793,45.3815282575,-71.9330835802,233.2,-0.0,-0.0798502,-0.0688512,-0.0382957,-0.973068,1.94479,3.19658,0.0,4,0,0,0
216167543,45.3815282394,-71.9330839608,233.163,-0.0,-0.0892701,-0.0845537,-0.0348328,-0.973141,1.94479,3.19657,0.0,4,0,0,0
216372299,45.3815282108,-71.9330843456,233.125,-0.0,-0.096227,-0.0958807,-0.0313685,-0.97329,1.94492,3.19665,0.0,4,0,0,0
216572439,45.3815281691,-71.933084752,233.086,-0.0,-0.100362,-0.108945,-0.0289065,-0.973423,1.94493,3.19662,0.0,4,0,0,0
216777130,45.3815280895,-71.9330852002,233.049,-0.0,-0.106608,-0.121983,-0.0234405,-0.973491,1.945,3.19664,0.0,4,0,0,0
216977897,45.3815280038,-71.9330856534,233.016,-0.0,-0.110808,-0.132002,-0.025331,-0.973517,1.94498,3.19658,0.0,4,0,0,0
217180325,45.3815278968,-71.9330861391,232.982,-0.0,-0.11426,-0.141056,-0.0232766,-0.973748,1.94498,3.19653,0.0,4,0,0,0
217383499,45.3815278023,-71.9330866432,232.946,-0.0,-0.10875,-0.149587,-0.0192646,-0.973626,1.94495,3.19646,0.0,4,0,0,0
217585932,45.3815276826,-71.9330871234,232.913,-0.0,-0.109133,-0.150923,-0.0203966,-0.973791,1.94494,3.19642,0.0,4,0,0,0
217789183,45.3815275432,-71.9330876188,232.873,-0.0,-0.10811,-0.160314,-0.0133129,-0.973754,1.94511,3.1965,0.0,4,0,0,0
217993141,45.3815273983,-71.9330881463,232.836,-0.0,-0.102435,-0.159593,-0.00842574,-0.973636,1.94517,3.19648,0.0,4,0,0,0
218193889,45.3815272912,-71.9330886625,232.803,-0.0,-0.0861879,-0.157979,-0.0109518,-0.973849,1.94516,3.19643,0.0,4,0,0,0
218398709,45.3815272094,-71.9330891614,232.772,-0.0,-0.072766,-0.154554,-0.00850858,-0.974034,1.94517,3.19639,0.0,4,0,0,0
218599443,45.381527149,-71.9330896768,232.744,-0.0,-0.0645998,-0.159024,-0.00881259,-0.97399,1.94517,3.19636,0.0,4,0,0,0
218800434,45.3815270924,-71.9330902075,232.715,-0.0,-0.0619761,-0.163696,-0.00759896,-0.973893,1.94532,3.19643,0.0,4,0,0,0
219004334,45.3815270205,-71.9330907346,232.69,-0.0,-0.0633779,-0.171657,-0.00435593,-0.973643,1.94527,3.19635,0.0,4,0,0,0
219205956,45.3815269551,-71.9330912863,232.669,-0.0,-0.0653429,-0.180916,-0.00265199,-0.973554,1.94528,3.19633,0.0,4,0,0,0
219409846,45.3815268816,-71.9330919181,232.649,-0.0,-0.0720027,-0.196434,0.00032744,-0.973544,1.94544,3.19642,0.0,4,0,0,0
219610769,45.3815267756,-71.9330925933,232.63,-0.0,-0.0820204,-0.215304,0.000158099,-0.973862,1.9454,3.19638,0.0,4,0,0,0
219811637,45.3815266317,-71.9330933029,232.61,-0.0,-0.097559,-0.234698,0.00155984,-0.973797,1.94541,3.19637,0.0,4,0,0,0
220016446,45.3815264555,-71.9330940648,232.59,-0.0,-0.110759,-0.251897,0.00634396,-0.97412,1.94542,3.19636,0.0,4,0,0,0
220217077,45.3815262595,-71.9330949225,232.57,-0.0,-0.173487,-0.309261,0.00734835,-0.974002,1.9456,3.19646,0.0,4,0,0,0
220421932,45.3815258692,-71.9330960681,232.554,-0.0,-0.336903,-0.445901,0.00538665,-0.973877,1.94555,3.19641,0.0,4,0,0,0
220621971,45.3815251429,-71.9330976607,232.537,-0.0,-0.603739,-0.648033,0.0158385,-0.974548,1.94558,3.19642,0.0,4,0,0,0
220822764,45.3815239418,-71.9330999347,232.52,-0.0,-0.950211,-0.920026,0.0225429,-0.97564,1.9456,3.19642,0.0,4,0,0,0
