timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
95075918,0.25866905,0.5021984,0.32553938
95086267,0.24638927,0.47970864,0.3162285
95095885,0.26046196,0.48253527,0.33320498
95106267,0.26046196,0.48253527,0.33320498
95115068,0.2586466,0.4953101,0.32187063
95126267,0.25864053,0.47072095,0.3208736
95135068,0.25165978,0.4847719,0.32148597
95146267,0.26399633,0.48577362,0.34009385
95155068,0.24474275,0.50543666,0.33253488
95166267,0.25337702,0.49375957,0.3167556
95175082,0.24641168,0.48659688,0.31989726
95184705,0.2428989,0.48673412,0.3165347
95195074,0.2428989,0.48673412,0.3165347
95203902,0.25333393,0.48700854,0.30970296
95214267,0.24296091,0.48632246,0.32668632
95223922,0.2394516,0.5005107,0.32389355
95235104,0.25689414,0.51118606,0.32083032
95243910,0.2568045,0.48363298,0.30615535
95255074,0.2533744,0.48322135,0.3163283
95263914,0.25333482,0.4905213,0.3098454
95275075,0.25335458,0.48687133,0.31308687
95283877,0.25335458,0.48687133,0.31308687
95303067,0.25689238,0.5041606,0.32054543
95312644,0.26032165,0.50105953,0.31023005
95323067,0.2638732,0.49010965,0.31993306
95332644,0.25693285,0.5003735,0.32717073
95343067,0.24994777,0.49686065,0.32707098
95352698,0.24116448,0.49193463,0.318451
95363067,0.25511408,0.49909735,0.31526664
95372650,0.2411473,0.50612277,0.3156368
95383068,0.2411473,0.50612277,0.3156368
95391908,0.24986508,0.49740952,0.31353548
95402286,0.25689065,0.49713507,0.32026058
95411913,0.2428593,0.494034,0.31005183
95421469,0.25339767,0.49362233,0.32013947
95431875,0.24637556,0.5079478,0.31398413
95441468,0.24808586,0.4888335,0.30811426
95451882,0.2516254,0.51314825,0.31585768
95461467,0.25856483,0.49937177,0.30847758
95471875,0.25856483,0.49937177,0.30847758
95480644,0.25162452,0.5096355,0.31571525
95491881,0.2533176,0.5047094,0.30703127
95500644,0.24635403,0.5045722,0.3104578
95511881,0.25331414,0.49065852,0.30646154
95520689,0.25341922,0.49699786,0.32366577
95531875,0.24465747,0.4954473,0.31857207
95540673,0.26030096,0.50119674,0.30684617
95551875,0.26561195,0.5024728,0.31872895
95560643,0.2568528,0.5114605,0.31406257
95571115,0.2568528,0.5114605,0.31406257
95579881,0.25856656,0.5063972,0.30876243
95589467,0.2568278,0.494034,0.3099665
95599881,0.2516874,0.5127366,0.32600933
95609467,0.2481918,0.4986857,0.32546094
95620676,0.25168306,0.4951729,0.32529718
95629467,0.24641603,0.5041606,0.32060945
95640670,0.24810827,0.49572176,0.311783
95649483,0.2533968,0.49010965,0.31999704
95668644,0.24467988,0.5023356,0.3222408
95678268,0.26910493,0.50598556,0.31885007
95688696,0.2499271,0.49699786,0.3236871
95698290,0.2603001,0.49768394,0.30670375
95708659,0.2463747,0.504435,0.3138417
95718274,0.2464108,0.4830841,0.31975484
95728693,0.2550305,0.4961334,0.3015887
95738268,0.26563263,0.5023356,0.32211283
95748671,0.26563263,0.5023356,0.32211283
95758268,0.26563263,0.5023356,0.32211283
95768669,0.24817114,0.4988229,0.32207704
95777474,0.24992971,0.5075362,0.3241144
95787067,0.24294372,0.5005107,0.3238722
95797474,0.2550925,0.49572176,0.31174034
95808644,0.2638723,0.48659688,0.31979063
95817473,0.25513297,0.49193463,0.31836566
95827068,0.24639362,0.4972723,0.3169407
95837467,0.2498875,0.5042978,0.3172042
95847876,0.2498875,0.5042978,0.3172042
95857467,0.25856656,0.5063972,0.30876243
95866290,0.24116796,0.50598556,0.31902072
95877485,0.25509426,0.50274724,0.3120252
95886268,0.24635403,0.5045722,0.3104578
95897467,0.25339592,0.48659688,0.31985462
95906271,0.26036298,0.5007851,0.3169978
95917518,0.2620552,0.4923463,0.30817136
95926268,0.24469881,0.4951729,0.32533982
95935876,0.24469881,0.4951729,0.32533982
95946268,0.24469881,0.4951729,0.32533982
95955068,0.25860527,0.49558455,0.31510288
95965467,0.26036212,0.4972723,0.31685537
95975067,0.25333828,0.5045722,0.31041515
95985467,0.26563436,0.5093611,0.32239768
95995068,0.25348294,0.5036117,0.33410227
96005467,0.25164172,0.4954473,0.31852943
96015068,0.25519675,0.49854848,0.32880214
96026267,0.2621,0.50612277,0.31550884
96035069,0.2621,0.50612277,0.31550884
96043875,0.23943353,0.51118606,0.32093698
96054267,0.248209,0.4844975,0.32827505
96063876,0.25699052,0.48239806,0.33661023
96074267,0.25168654,0.5092239,0.3258669
96083876,0.24990556,0.49362233,0.3201608
96094267,0.2481892,0.4881474,0.32503363
96103875,0.26040518,0.5040234,0.32390797
96114267,0.256932,0.49686065,0.3270283
96124668,0.256932,0.49686065,0.3270283
