timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
46947470,-0.0128405,-0.0628171,-0.0335808,0.833144,-0.0546924,-0.0398764,-0.548898,0.931081,0.00216238,0.0119804,-0.364609,1
46979530,-0.00863054,0.00397485,-0.0227382,0.832579,-0.0551515,-0.0403398,-0.549676,0.931081,0.00216238,0.0119804,-0.364609,1
47012283,-0.0144762,0.200722,-0.0337977,0.832106,-0.0541361,-0.0386288,-0.550615,0.931081,0.00216238,0.0119804,-0.364609,1
47040385,-0.060592,0.199325,-0.0414771,0.831636,-0.0529551,-0.0357473,-0.551634,0.931081,0.00216238,0.0119804,-0.364609,1
47072295,-0.00791426,0.0363328,-0.0257556,0.83108,-0.0526416,-0.033734,-0.552627,0.931081,0.00216238,0.0119804,-0.364609,1
47104408,0.0079498,-0.0668561,-0.0292175,0.830587,-0.0524736,-0.034394,-0.553343,0.931081,0.00216238,0.0119804,-0.364609,1
47136323,-0.146575,0.0625353,-0.0132732,0.830034,-0.0537289,-0.0337389,-0.554092,0.931081,0.00216238,0.0119804,-0.364609,1
47169089,-0.115994,0.168398,0.00864172,0.829668,-0.054452,-0.0303366,-0.554767,0.931081,0.00216238,0.0119804,-0.364609,1
47201143,-0.110804,-0.00709507,0.0310788,0.82951,-0.0550214,-0.0283525,-0.555052,0.931081,0.00216238,0.0119804,-0.364609,1
47229197,-0.0433085,-0.0779146,0.0334031,0.82943,-0.056499,-0.0282782,-0.555027,0.931081,0.00216238,0.0119804,-0.364609,1
47261216,0.0600726,-0.000256232,0.0251192,0.829407,-0.0565073,-0.029064,-0.55502,0.931081,0.00216238,0.0119804,-0.364609,1
47293205,0.031013,0.156146,-0.0118141,0.829242,-0.0552248,-0.0281277,-0.555443,0.931081,0.00216238,0.0119804,-0.364609,1
47325263,0.0366671,0.203101,-0.0415056,0.828801,-0.0529586,-0.0257795,-0.556435,0.931081,0.00216238,0.0119804,-0.364609,1
47357882,0.127188,0.116839,-0.0192554,0.828342,-0.0504449,-0.024261,-0.557419,0.931081,0.00216238,0.0119804,-0.364609,1
47389954,0.168539,0.0341123,0.0114024,0.828223,-0.0475775,-0.0247396,-0.557827,0.931081,0.00216238,0.0119804,-0.364609,1
47418013,0.0552822,-0.0188848,0.01344,0.828126,-0.0462706,-0.0255351,-0.558045,0.931081,0.00216238,0.0119804,-0.364609,1
47449934,-0.0333724,0.0287558,0.026408,0.828046,-0.0463031,-0.0254425,-0.558166,0.931081,0.00216238,0.0119804,-0.364609,1
47481935,-0.0350616,-0.0113589,0.0269041,0.827985,-0.0466186,-0.0246544,-0.558265,0.931081,0.00216238,0.0119804,-0.364609,1
47513898,0.0682926,-0.00846062,0.0661977,0.828109,-0.0467387,-0.0250149,-0.558055,0.931081,0.00216238,0.0119804,-0.364609,1
47545944,0.100749,0.0871953,0.0293084,0.828392,-0.0449774,-0.0251277,-0.557775,0.931081,0.00216238,0.0119804,-0.364609,1
47578692,-0.0247948,0.0659827,0.00235239,0.82825,-0.0435159,-0.0243396,-0.558136,0.931081,0.00216238,0.0119804,-0.364609,1
47610715,-0.125307,0.040334,-0.007164,0.827851,-0.0443665,-0.0227681,-0.558727,0.931081,0.00216238,0.0119804,-0.364609,1
47638726,-0.14458,-0.00528075,0.0234562,0.827615,-0.0457066,-0.021452,-0.55902,0.931081,0.00216238,0.0119804,-0.364609,1
47670759,-0.17791,-0.0770862,0.0474361,0.827529,-0.048471,-0.0204912,-0.558951,0.931081,0.00216238,0.0119804,-0.364609,1
47702844,-0.139403,-0.072995,0.0886414,0.82772,-0.051097,-0.0201134,-0.558449,0.931081,0.00216238,0.0119804,-0.364609,1
47734689,-0.155299,-0.0679111,0.0678136,0.82806,-0.0537416,-0.0195073,-0.557717,0.931081,0.00216238,0.0119804,-0.364609,1
47767540,-0.094051,-0.037382,0.0233678,0.827968,-0.0559338,-0.01905,-0.557653,0.931081,0.00216238,0.0119804,-0.364609,1
47799586,-0.0489192,0.0157683,0.00997608,0.82771,-0.0567602,-0.018426,-0.557974,0.931081,0.00216238,0.0119804,-0.364609,1
47827609,-0.0271775,0.0488324,0.0159507,0.827508,-0.0569541,-0.017733,-0.558277,0.931081,0.00216238,0.0119804,-0.364609,1
47859523,-0.00442379,0.119654,0.0506223,0.827588,-0.0561046,-0.0162563,-0.558289,0.931081,0.00216238,0.0119804,-0.364609,1
47891467,-0.0406518,0.0116023,0.0576996,0.827772,-0.0559278,-0.0149916,-0.558069,0.931081,0.00216238,0.0119804,-0.364609,1
47923522,-0.043706,-0.0523562,0.0427964,0.827901,-0.0567239,-0.014931,-0.557798,0.931081,0.00216238,0.0119804,-0.364609,1
47955499,-0.0205766,-0.0691795,0.0504671,0.827948,-0.0578487,-0.0154202,-0.5576,0.931081,0.00216238,0.0119804,-0.364609,1
47988406,0.00630391,-0.00894067,0.0434505,0.828066,-0.0580369,-0.0157574,-0.557396,0.931081,0.00216238,0.0119804,-0.364609,1
48020361,0.0121743,-0.0112976,0.0460619,0.828194,-0.0579406,-0.0158058,-0.557215,0.931081,0.00216238,0.0119804,-0.364609,1
48048374,0.0286412,-0.0350517,0.0404999,0.828279,-0.0578674,-0.0161816,-0.557085,0.931081,0.00216238,0.0119804,-0.364609,1
48080365,0.0225482,-0.0464107,0.0323431,0.828328,-0.0577637,-0.0168958,-0.557002,0.931081,0.00216238,0.0119804,-0.364609,1
48113258,-0.00739526,-0.0757858,0.0253506,0.828335,-0.0583153,-0.0176966,-0.556909,0.931081,0.00216238,0.0119804,-0.364609,1
48145142,0.0691401,-0.0342203,0.0171114,0.828254,-0.058358,-0.0186766,-0.556992,0.931081,0.00216238,0.0119804,-0.364609,1
48177112,0.0466834,-0.0462966,0.051994,0.82831,-0.0577853,-0.0195086,-0.55694,0.931081,0.00216238,0.0119804,-0.364609,1
48209134,0.00788775,-0.0990714,0.0591261,0.828493,-0.0582186,-0.0206929,-0.556581,0.931081,0.00216238,0.0119804,-0.364609,1
48237252,0.0917775,-0.0283456,0.0618319,0.828772,-0.0583094,-0.0215673,-0.556122,0.931081,0.00216238,0.0119804,-0.364609,1
48269180,0.075294,-0.0922716,0.0373927,0.828971,-0.0571907,-0.023162,-0.555877,0.931081,0.00216238,0.0119804,-0.364609,1
48301231,0.144089,-0.0217659,0.0201369,0.828926,-0.0564926,-0.0249072,-0.555941,0.931081,0.00216238,0.0119804,-0.364609,1
48334062,0.151993,0.0370862,0.0313608,0.829019,-0.0540695,-0.0259553,-0.555995,0.931081,0.00216238,0.0119804,-0.364609,1
48365982,0.0133564,-0.0152183,0.0321474,0.829083,-0.052795,-0.0263793,-0.556002,0.931081,0.00216238,0.0119804,-0.364609,1
48397938,-0.0911496,-0.0967473,0.033738,0.828998,-0.0540446,-0.0266248,-0.555997,0.931081,0.00216238,0.0119804,-0.364609,1
48425968,-0.0794696,-0.116071,0.0456253,0.828965,-0.055948,-0.027114,-0.555834,0.931081,0.00216238,0.0119804,-0.364609,1
48457953,-0.0841614,-0.102103,0.0451027,0.828997,-0.0580695,-0.0277089,-0.555539,0.931081,0.00216238,0.0119804,-0.364609,1
48489985,0.0132171,-0.0299301,0.0288896,0.829013,-0.0591033,-0.028165,-0.555383,0.931081,0.00216238,0.0119804,-0.364609,1
48521947,-0.00376106,0.0925583,0.00752812,0.828884,-0.0585963,-0.0277363,-0.555652,0.931081,0.00216238,0.0119804,-0.364609,1
48554692,-0.0519828,0.0787231,0.00812937,0.828737,-0.0580105,-0.0257868,-0.556026,0.931081,0.00216238,0.0119804,-0.364609,1
48586788,-0.00818487,-0.0910675,0.0173305,0.828493,-0.0588702,-0.0256747,-0.556305,0.931081,0.00216238,0.0119804,-0.364609,1
48618695,-0.0180793,-0.0564218,0.0354057,0.828469,-0.0592055,-0.0268906,-0.556248,0.931081,0.00216238,0.0119804,-0.364609,1
48646813,-0.113493,0.0328168,0.0328932,0.828462,-0.0600928,-0.0262249,-0.556194,0.931081,0.00216238,0.0119804,-0.364609,1
48678747,-0.062174,0.0330268,0.00704918,0.828238,-0.0609337,-0.0248275,-0.5565,0.931081,0.00216238,0.0119804,-0.364609,1
48710765,-0.0231968,-0.0186391,0.00748292,0.828033,-0.0611431,-0.0244008,-0.556802,0.931081,0.00216238,0.0119804,-0.364609,1
48743650,0.0230933,-0.034384,0.0127781,0.827883,-0.0616044,-0.0249032,-0.556951,0.931081,0.00216238,0.0119804,-0.364609,1
48775513,-0.0252298,0.0227193,-0.0013608,0.827644,-0.0613799,-0.0248004,-0.557335,0.931081,0.00216238,0.0119804,-0.364609,1
48807665,0.0170296,0.0622565,0.00272207,0.827419,-0.060875,-0.0241436,-0.557754,0.931081,0.00216238,0.0119804,-0.364609,1
48835558,0.0397798,0.0551888,0.0143126,0.827303,-0.059889,-0.0235909,-0.558056,0.931081,0.00216238,0.0119804,-0.364609,1
49088279,-0.185644,-0.159492,0.00268879,0.82537,-0.0662495,-0.0239997,-0.560179,0.931081,0.00216238,0.0119804,-0.364609,1
49121281,-0.152235,-0.181296,0.0159362,0.824973,-0.0699193,-0.0246363,-0.56029,0.931081,0.00216238,0.0119804,-0.364609,1
49153283,-0.122276,-0.18255,0.0175347,0.824694,-0.0731555,-0.0258105,-0.560234,0.931081,0.00216238,0.0119804,-0.364609,1
49185091,-0.0414238,-0.116626,0.019317,0.82449,-0.0752068,-0.0269406,-0.560209,0.931081,0.00216238,0.0119804,-0.364609,1
49217117,0.0293476,-0.082676,0.00884549,0.82436,-0.0756728,-0.0281666,-0.560278,0.931081,0.00216238,0.0119804,-0.364609,1
49249090,0.0510854,-0.0278417,0.030405,0.824381,-0.0751693,-0.0292959,-0.560257,0.931081,0.00216238,0.0119804,-0.364609,1
49281135,0.0350053,-0.0250536,0.0104229,0.824425,-0.0745384,-0.0297959,-0.56025,0.931081,0.00216238,0.0119804,-0.364609,1
49313104,0.00467325,-0.0500656,-0.0206517,0.824157,-0.0742959,-0.0305964,-0.560633,0.931081,0.00216238,0.0119804,-0.364609,1
49346028,0.0909906,0.0247509,-0.0078276,0.8239,-0.0736039,-0.031049,-0.561076,0.931081,0.00216238,0.0119804,-0.364609,1
49377860,0.0669583,-0.0385176,-0.00597128,0.823759,-0.0720152,-0.0317754,-0.56145,0.931081,0.00216238,0.0119804,-0.364609,1
