timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
10101487,374.32156,21.42,96909.0,1.1514392
10112877,374.49332,21.42,96907.0,1.1514155
10124139,374.40875,21.42,96907.99,1.1514273
10144483,374.32156,21.42,96909.0,1.1514392
10156112,374.32156,21.42,96909.0,1.1514392
10166448,374.40875,21.42,96907.99,1.1514273
10187979,374.40875,21.42,96907.99,1.1514273
10198435,374.49332,21.42,96907.0,1.1514155
10209511,374.40875,21.42,96907.99,1.1514273
10230442,374.32156,21.42,96909.0,1.1514392
10240794,374.32156,21.42,96909.0,1.1514392
10251988,374.49332,21.42,96907.0,1.1514155
10272537,374.49332,21.42,96907.0,1.1514155
10284019,374.66507,21.42,96905.0,1.1513917
10294436,374.75226,21.42,96904.0,1.1513798
10316840,373.89087,21.43,96913.99,1.1514986
10327444,374.06262,21.43,96912.0,1.1514748
10338436,374.32156,21.43,96909.0,1.1514392
10361052,373.89087,21.439999,96913.99,1.1514986
10371436,373.37296,21.439999,96919.99,1.1515698
10382458,374.23434,21.439999,96910.0,1.1514511
10404815,374.40875,21.439999,96907.99,1.1514273
10415489,374.23434,21.439999,96910.0,1.1514511
10425707,374.32156,21.439999,96909.0,1.1514392
10447443,374.14716,21.439999,96911.0,1.151463
10457804,373.9754,21.439999,96913.0,1.1514868
10468774,374.23434,21.439999,96910.0,1.1514511
10490447,374.06262,21.439999,96912.0,1.1514748
10500870,374.32156,21.439999,96909.0,1.1514392
10511447,373.89087,21.439999,96913.99,1.1514986
10533646,374.06262,21.439999,96912.0,1.1514748
10544446,374.32156,21.439999,96909.0,1.1514392
10555435,374.40875,21.439999,96907.99,1.1514273
10576471,374.5805,21.439999,96906.0,1.1514035
10586787,374.32156,21.439999,96909.0,1.1514392
10597591,374.06262,21.439999,96912.0,1.1514748
10619445,374.32156,21.449999,96909.0,1.1514392
10629739,373.9754,21.449999,96913.0,1.1514868
10640447,373.80365,21.449999,96915.0,1.1515105
10661700,374.06262,21.449999,96912.0,1.1514748
10672447,374.14716,21.449999,96911.0,1.151463
10683447,374.32156,21.449999,96909.0,1.1514392
10704436,374.06262,21.439999,96912.0,1.1514748
10714725,374.23434,21.439999,96910.0,1.1514511
10726504,374.06262,21.439999,96912.0,1.1514748
10750420,374.5805,21.449999,96906.0,1.1514035
10763113,373.9754,21.449999,96913.0,1.1514868
10774472,374.32156,21.449999,96909.0,1.1514392
10798391,374.23434,21.449999,96910.0,1.1514511
10808447,373.89087,21.449999,96913.99,1.1514986
10819230,373.9754,21.449999,96913.0,1.1514868
10843251,374.32156,21.449999,96909.0,1.1514392
10852866,374.32156,21.449999,96909.0,1.1514392
10863252,374.32156,21.449999,96909.0,1.1514392
10884242,373.9754,21.449999,96913.0,1.1514868
10895276,374.40875,21.449999,96907.99,1.1514273
10905512,374.23434,21.449999,96910.0,1.1514511
10927260,373.89087,21.46,96913.99,1.1514986
10937516,374.5805,21.46,96906.0,1.1514035
10947560,374.32156,21.46,96909.0,1.1514392
10969497,374.5805,21.46,96906.0,1.1514035
10980477,373.71646,21.46,96916.0,1.1515224
10991303,374.32156,21.46,96909.0,1.1514392
11011462,374.32156,21.46,96909.0,1.1514392
11023259,374.23434,21.46,96910.0,1.1514511
11033532,374.06262,21.46,96912.0,1.1514748
11055214,374.32156,21.47,96909.0,1.1514392
11065550,374.06262,21.47,96912.0,1.1514748
11076483,374.40875,21.47,96907.99,1.1514273
11098439,373.80365,21.47,96915.0,1.1515105
11108850,374.06262,21.47,96912.0,1.1514748
11120027,374.23434,21.47,96910.0,1.1514511
11141507,374.66507,21.47,96905.0,1.1513917
11152446,374.23434,21.47,96910.0,1.1514511
11164289,374.49332,21.47,96907.0,1.1514155
11184479,374.23434,21.47,96910.0,1.1514511
11197519,374.06262,21.47,96912.0,1.1514748
11208435,374.06262,21.47,96912.0,1.1514748
11229507,374.14716,21.47,96911.0,1.151463
11239995,373.80365,21.47,96915.0,1.1515105
11250435,373.9754,21.47,96913.0,1.1514868
11271939,374.23434,21.47,96910.0,1.1514511
11282447,374.40875,21.47,96907.99,1.1514273
11293565,374.49332,21.47,96907.0,1.1514155
11315445,374.14716,21.47,96911.0,1.151463
11325724,374.23434,21.47,96910.0,1.1514511
11336746,373.9754,21.47,96913.0,1.1514868
11358435,373.80365,21.48,96915.0,1.1515105
11368874,374.23434,21.48,96910.0,1.1514511
11379435,374.49332,21.48,96907.0,1.1514155
11400816,373.9754,21.48,96913.0,1.1514868
11411448,374.40875,21.48,96907.99,1.1514273
11422455,374.06262,21.48,96912.0,1.1514748
11443435,373.89087,21.48,96913.99,1.1514986
11454719,373.9754,21.48,96913.0,1.1514868
11465689,374.32156,21.48,96909.0,1.1514392
