timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
146280052,45.3817220469,-71.9300243066,239.519,-851.923,-191.84,-60.5693,-0.746565,1,1,0
146369581,45.3817188614,-71.9300342247,239.503,-852.277,-192.615,-60.5527,-0.742899,1,1,0
146469320,45.3817154426,-71.9300452504,239.484,-852.657,-193.476,-60.5339,-0.739061,1,1,0
151716423,45.3816211561,-71.9304622185,239.066,-863.14,-226.042,-60.116,-0.637783,1,1,0
151976715,45.3816205075,-71.9304732586,238.983,-863.212,-226.904,-60.0329,-0.640074,1,1,0
152271542,45.3816200802,-71.9304841997,238.89,-863.26,-227.759,-59.9401,-0.643152,1,1,0
152607250,45.3816198499,-71.9304947563,238.797,-863.285,-228.583,-59.8471,-0.647533,1,1,0
153048499,45.3816201351,-71.9305053468,238.657,-863.254,-229.41,-59.707,-0.654194,1,1,0
159742542,45.3816197911,-71.9305209164,236.257,-863.292,-230.626,-57.3073,-0.783329,1,1,0
165440436,45.3816252936,-71.9305303898,236.539,-862.68,-231.366,-57.5894,-0.879163,1,1,0
170981723,45.3816240232,-71.9305382816,236.42,-862.821,-231.983,-57.4701,-0.953935,1,1,0
171372538,45.3816208608,-71.9305449898,236.373,-863.173,-232.507,-57.4233,-0.955933,1,1,0
180811289,45.3815663463,-71.9315323681,236.79,-869.231,-309.622,-57.8406,-0.893435,1,1,0
180868503,45.3815662626,-71.9315417006,236.803,-869.241,-310.351,-57.8528,-0.893341,1,1,0
180927645,45.3815662386,-71.9315516677,236.813,-869.243,-311.13,-57.8628,-0.893387,1,1,0
180987927,45.3815660753,-71.9315614922,236.824,-869.261,-311.897,-57.874,-0.893299,1,1,0
181047610,45.38156598,-71.9315714366,236.832,-869.272,-312.674,-57.8818,-0.89377,1,1,0
181104511,45.381565928,-71.9315809242,236.836,-869.278,-313.415,-57.8865,-0.893777,1,1,0
200994762,45.3815201748,-71.9330747169,235.076,-874.358,-430.082,-56.1258,-0.959782,1,1,0
207148053,45.381525129,-71.9330789609,234.492,-873.807,-430.414,-55.5417,-0.968751,1,1,0
215147643,45.3815283596,-71.933082542,233.372,-873.448,-430.693,-54.4221,-0.97267,1,1,0
218953830,45.381527037,-71.933090597,232.697,-873.595,-431.322,-53.7476,-0.97365,1,1,0
220679207,45.3815248563,-71.933098212,232.533,-873.838,-431.917,-53.5832,-0.974667,1,1,0
247932363,45.378448999,-71.933745465,236.783,-1215.85,-482.495,-57.8328,-1.42996,1,1,0
247986629,45.3784423913,-71.9337468272,236.813,-1216.59,-482.601,-57.8628,-1.43438,1,1,0
248045869,45.3784349261,-71.9337482704,236.841,-1217.42,-482.714,-57.8915,-1.43846,1,1,0
248101643,45.3784279824,-71.9337495372,236.866,-1218.19,-482.813,-57.916,-1.44245,1,1,0
248157671,45.3784210486,-71.9337507438,236.891,-1218.96,-482.907,-57.9411,-1.44732,1,1,0
248213486,45.378414105,-71.9337519136,236.924,-1219.73,-482.999,-57.9741,-1.45133,1,1,0
248269998,45.3784070965,-71.9337530174,236.952,-1220.51,-483.085,-58.0027,-1.45507,1,1,0
248326300,45.3784002121,-71.9337540388,236.976,-1221.28,-483.165,-58.0262,-1.45927,1,1,0
248439541,45.3783864664,-71.9337559667,237.034,-1222.81,-483.316,-58.0845,-1.46735,1,1,0
248495398,45.3783795151,-71.9337568493,237.062,-1223.58,-483.385,-58.1125,-1.47132,1,1,0
249220384,45.3782916794,-71.9337629646,237.413,-1233.35,-483.863,-58.4636,-1.52825,1,1,0
249279487,45.3782847566,-71.9337630358,237.441,-1234.12,-483.869,-58.4908,-1.5327,1,1,0
249347668,45.3782765922,-71.9337630404,237.471,-1235.02,-483.869,-58.5217,-1.53788,1,1,0
249404497,45.3782698726,-71.9337630197,237.506,-1235.77,-483.867,-58.5559,-1.54216,1,1,0
249460547,45.3782631562,-71.9337629271,237.533,-1236.52,-483.86,-58.5834,-1.54642,1,1,0
249519503,45.3782559667,-71.933762749,237.555,-1237.32,-483.846,-58.6049,-1.55102,1,1,0
249578776,45.3782487937,-71.9337625208,237.583,-1238.12,-483.829,-58.6332,-1.55578,1,1,0
249638098,45.3782421388,-71.9337622559,237.613,-1238.86,-483.808,-58.6629,-1.56029,1,1,0
249694068,45.3782349943,-71.9337618867,237.636,-1239.65,-483.779,-58.6864,-1.56475,1,1,0
249763691,45.3782267926,-71.9337613986,237.664,-1240.56,-483.741,-58.7144,-1.56981,1,1,0
249823139,45.3782196415,-71.9337609379,237.693,-1241.36,-483.705,-58.7433,-1.57431,1,1,0
249883390,45.3782124872,-71.9337604081,237.721,-1242.15,-483.664,-58.7707,-1.57831,1,1,0
249943152,45.3782053284,-71.933759797,237.737,-1242.95,-483.616,-58.7876,-1.58271,1,1,0
250001675,45.3781985923,-71.9337592207,237.767,-1243.7,-483.571,-58.817,-1.58717,1,1,0
250059709,45.3781914753,-71.9337585475,237.797,-1244.49,-483.519,-58.8472,-1.59136,1,1,0
250119538,45.3781843473,-71.9337577864,237.817,-1245.28,-483.459,-58.8673,-1.59638,1,1,0
250180790,45.3781772434,-71.9337569682,237.85,-1246.07,-483.396,-58.9005,-1.601,1,1,0
250239726,45.3781701319,-71.9337560676,237.88,-1246.86,-483.325,-58.9297,-1.60596,1,1,0
250297579,45.3781633969,-71.9337551428,237.905,-1247.61,-483.253,-58.9548,-1.61005,1,1,0
250357248,45.378156292,-71.9337540906,237.933,-1248.4,-483.171,-58.9828,-1.61481,1,1,0
250416829,45.3781491947,-71.9337529658,237.965,-1249.19,-483.083,-59.0152,-1.62089,1,1,0
250473634,45.3781424718,-71.9337518304,237.992,-1249.94,-482.995,-59.0423,-1.62556,1,1,0
250542750,45.3781344283,-71.933750383,238.022,-1250.83,-482.882,-59.0721,-1.63135,1,1,0
250598579,45.378127847,-71.9337491062,238.055,-1251.56,-482.782,-59.1048,-1.63719,1,1,0
275463651,45.377388099,-71.9299129913,255.194,-1333.84,-183.16,-76.2446,-1.83291,1,1,0
275550126,45.3773878358,-71.9299011362,255.254,-1333.87,-182.234,-76.3045,-1.8299,1,1,0
275632801,45.3773875715,-71.9298892688,255.321,-1333.89,-181.308,-76.3707,-1.82677,1,1,0
275725676,45.3773872226,-71.9298763576,255.384,-1333.93,-180.299,-76.4339,-1.82391,1,1,0
275805087,45.3773869484,-71.9298649001,255.445,-1333.96,-179.404,-76.4952,-1.8214,1,1,0
275893614,45.3773865952,-71.9298525019,255.507,-1334.0,-178.436,-76.5575,-1.81813,1,1,0
275973104,45.3773862595,-71.9298412671,255.563,-1334.04,-177.558,-76.6133,-1.81541,1,1,0
276061890,45.3773859545,-71.9298287537,255.63,-1334.07,-176.581,-76.6797,-1.81229,1,1,0
276152535,45.377385553,-71.9298164561,255.69,-1334.12,-175.62,-76.7398,-1.80935,1,1,0
276234468,45.3773853688,-71.9298046019,255.758,-1334.14,-174.694,-76.8082,-1.80738,1,1,0
276326842,45.3773849716,-71.9297916784,255.821,-1334.18,-173.685,-76.8714,-1.80387,1,1,0
276410931,45.377384794,-71.9297798055,255.888,-1334.2,-172.758,-76.9377,-1.80106,1,1,0
276495688,45.3773845275,-71.9297680558,255.944,-1334.23,-171.84,-76.9942,-1.7986,1,1,0
276579934,45.3773843927,-71.9297561925,256.003,-1334.25,-170.913,-77.0531,-1.79574,1,1,0
276663708,45.3773843062,-71.9297444599,256.061,-1334.26,-169.997,-77.1109,-1.79247,1,1,0
276749815,45.377384212,-71.9297328004,256.113,-1334.27,-169.086,-77.1636,-1.78947,1,1,0
276832817,45.3773842144,-71.9297209119,256.174,-1334.27,-168.158,-77.2246,-1.78634,1,1,0
276925195,45.3773841674,-71.9297081502,256.231,-1334.27,-167.161,-77.2815,-1.78363,1,1,0
277008540,45.3773841918,-71.9296965337,256.29,-1334.27,-166.254,-77.34,-1.78053,1,1,0
277099579,45.3773841986,-71.9296843364,256.342,-1334.27,-165.301,-77.3923,-1.77805,1,1,0
277189943,45.3773842416,-71.9296717429,256.402,-1334.27,-164.317,-77.4524,-1.77394,1,1,0
277282506,45.3773842649,-71.9296592226,256.458,-1334.26,-163.339,-77.5078,-1.77129,1,1,0
277371587,45.3773843211,-71.9296471986,256.512,-1334.26,-162.4,-77.5617,-1.76779,1,1,0
277462011,45.3773843883,-71.9296348516,256.57,-1334.25,-161.436,-77.6206,-1.76521,1,1,0
277555219,45.3773844248,-71.9296224775,256.625,-1334.25,-160.469,-77.6752,-1.76251,1,1,0
277651165,45.3773844854,-71.9296097582,256.687,-1334.24,-159.476,-77.7374,-1.75883,1,1,0
